time (seconds),encoderLeft (meters),encoderRight (meters)
1013.501,578.5018921,549.4074097
1013.601,578.5018921,549.4074097
1013.701,578.5018921,549.4074097
1013.795,578.5018921,549.4074097
1013.901,578.5018921,549.4074097
1013.998,578.5018921,549.4074097
1014.1,578.5018921,549.4074097
1014.194,578.5018921,549.4074097
1014.301,578.5018921,549.4074097
1014.399,578.5018921,549.4074097
1014.5,578.5018921,549.4074097
1014.601,578.5018921,549.4074097
1014.7,578.5018921,549.5028687
1014.798,578.5018921,549.600708
1014.899,578.5018921,549.7076416
1015,578.5018921,549.8234253
1015.101,578.5018921,549.9474487
1015.2,578.5018921,550.0714722
1015.3,578.5018921,550.2026367
1015.403,578.5018921,550.3397217
1015.5,578.5018921,550.4813232
1015.601,578.5018921,550.6260376
1015.701,578.5018921,550.7706909
1015.801,578.5018921,550.9169312
1015.899,578.5018921,551.0632935
1016.001,578.5018921,551.208374
1016.101,578.5018921,551.3533936
1016.199,578.5018921,551.4958496
1016.299,578.5018921,551.6345215
1016.4,578.5018921,551.7686157
1016.496,578.5018921,551.897522
1016.601,578.5018921,552.0264282
1016.697,578.5018921,552.1499023
1016.8,578.5018921,552.2681274
1016.9,578.5018921,552.381897
1016.999,578.5018921,552.4956665
1017.101,578.5018921,552.6060181
1017.201,578.5018921,552.7144165
1017.301,578.5018921,552.8222656
1017.4,578.5018921,552.9301758
1017.501,578.5018921,553.0391235
1017.6,578.5018921,553.1508789
1017.706,578.5018921,553.2671509
1017.8,578.5018921,553.3894653
1017.901,578.5018921,553.5117798
1017.999,578.5018921,553.6414185
1018.1,578.5018921,553.7792969
1018.2,578.5018921,553.9257813
1018.301,578.5018921,554.0723267
1018.401,578.5018921,554.227356
1018.483,578.5018921,554.390625
1018.6,578.5018921,554.5613403
1018.701,578.5018921,554.7385864
1018.801,578.5018921,554.9157715
1018.9,578.5018921,555.0983887
1019,578.5018921,555.2850342
1019.102,578.5018921,555.4743652
1019.202,578.5018921,555.6636963
1019.3,578.5018921,555.854187
1019.4,578.5018921,556.0443115
1019.5,578.5018921,556.232666
1019.601,578.5018921,556.4209595
1019.701,578.5018921,556.6060181
1019.799,578.5018921,556.786438
1019.9,578.5018921,556.9609375
1019.998,578.5018921,557.135376
1020.102,578.5018921,557.3028564
1020.199,578.5018921,557.4624023
1020.301,578.5018921,557.6134644
1020.397,578.5018921,557.7555542
1020.499,578.5018921,557.8977051
1020.6,578.5018921,558.0310059
1020.701,578.5018921,558.1560669
1020.801,578.5018921,558.2737427
1020.899,578.5018921,558.3914795
1021.001,578.5018921,558.50354
1021.096,578.5018921,558.6119995
1021.2,578.5018921,558.7191772
1021.3,578.5018921,558.8275757
1021.399,578.5018921,558.9359741
1021.499,578.5018921,559.0477295
1021.6,578.5018921,559.1643677
1021.701,578.5018921,559.2870483
1021.8,578.5018921,559.409729
1021.901,578.5018921,559.5388184
1022.001,578.5018921,559.6743774
1022.097,578.5018921,559.8157959
1022.19,578.5018921,559.9572754
1022.302,578.5018921,560.1039429
1022.396,578.5018921,560.2546387
1022.501,578.5018921,560.4082642
1022.601,578.5018921,560.5632935
1022.7,578.5018921,560.7183228
1022.801,578.5018921,560.87323
1022.9,578.5018921,561.0264282
1023.001,578.5018921,561.1763306
1023.101,578.5018921,561.3261719
1023.205,578.5018921,561.4710083
1023.299,578.5018921,561.6092529
1023.401,578.5018921,561.7391357
1023.499,578.5018921,561.8690796
1023.601,578.5018921,561.9891968
1023.701,578.5018921,562.0980835
1023.799,578.5018921,562.194397
1023.9,578.5018921,562.2769165
1024,578.5018921,562.359375
1024.103,578.5018921,562.4268799
1024.2,578.5018921,562.4781494
1024.301,578.5018921,562.5294189
1024.398,578.5018921,562.5806885
1024.501,578.5018921,562.631958
1024.6,578.5018921,562.6832275
1024.699,578.5018921,562.7344971
1024.8,578.5018921,562.7857666
1024.901,578.5018921,562.8370361
1025.001,578.5018921,562.8883057
1025.101,578.5018921,562.9395752
1025.201,578.5018921,562.9908447
1025.3,578.5018921,563.0421143
1025.39,578.5018921,563.0933838
1025.501,578.5018921,563.1446533
1025.6,578.5018921,563.1959229
1025.699,578.5018921,563.2471924
1025.801,578.5018921,563.2984619
1025.9,578.5018921,563.3497925
1026.003,578.5018921,563.401062
1026.098,578.5018921,563.4523315
1026.201,578.5018921,563.5036011
1026.301,578.5018921,563.5548706
1026.4,578.5018921,563.6061401
1026.5,578.5018921,563.6574097
1026.6,578.5018921,563.7086792
1026.701,578.5018921,563.7599487
1026.799,578.5018921,563.8112183
1026.901,578.5018921,563.8624878
1027.001,578.5018921,563.9137573
